"Rubrobacter xylanophilus DSM 9941",0,37590,0
"Ruegeria sp. TM1040",0,44933,0
"Saccharophagus degradans 2-40",0,39175,0
"Shewanella amazonensis SB2B",0,40720,0
"Shewanella baltica OS155",0,49400,0
"Shewanella frigidimarina NCIMB 400",0,43758,0
"Shewanella loihica PV-4",0,43149,0
"Shewanella oneidensis MR-1",0,46181,0
"Shewanella sp. ANA-3",0,56470,0
"Shewanella sp. MR-7",0,51469,0
"Shewanella sp. W3-18-1",0,36489,0
"Sphingopyxis alaskensis RB2256",0,33145,0
"Streptococcus suis SC84",0,18748,0
"Streptococcus thermophilus LMD-9",0,10344,0
"Sulfurimonas denitrificans DSM 1251",0,21840,0
"Synechococcus sp. PCC 7002",0,26348,0
"Syntrophobacter fumaroxidans MPOB",0,43928,0
"Syntrophomonas wolfei Goettingen, DSM 2245B",0,22314,0
"Thermoanaerobacter pseudethanolicus 39E, ATCC 33223",0,25572,0
"Thermobifida fusca YX",0,27780,0
"Thiobacillus denitrificans ATCC 25259",0,34068,0
"Thiomicrospira crunogena XCL-2",0,20132,0
"Trichodesmium erythraeum IMS101",0,53921,0
"Xylella fastidiosa 9a5c",0,89959,0
"Xylella fastidiosa M12",0,37348,0
